route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible
P6,53041-__P601-LAMJV,5572552,Halluin Hotel De Ville,0,,1
P6,53041-__P606-LAMJV,5572570,Halluin Hotel De Ville,0,,1
P6,53041-__P606-LAMJV,5572572,Halluin Hotel De Ville,0,,1
P6,53041-__P606-LAMJV,5572573,Halluin Hotel De Ville,0,,1
S75,53466-_S7501-M,5622844,Villeneuve D Ascq Flers Bourg,1,,1
S86,52872-_S8608-M,5532679,Leers Coeur De Ville,0,,1
ME2,52971-_ME201-LAMJV,5552484,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME202-LAMJV,5552502,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME203-LAMJV,5552517,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME203-LAMJV,5552519,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME203-LAMJV,5552529,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME203-LAMJV,5552531,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME204-LAMJV,5552541,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME205-LAMJV,5552551,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME206-LAMJV,5552555,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME206-LAMJV,5552561,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME208-LAMJV,5552578,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME208-LAMJV,5552582,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME209-LAMJV,5552590,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME210-LAMJV,5552594,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME211-LAMJV,5552607,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME213-LAMJV,5552630,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME217-LAMJV,5552697,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME218-LAMJV,5552706,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME218-LAMJV,5552710,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME222-LAMJV,5552771,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME223-LAMJV,5552781,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME225-LAMJV,5552807,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME226-LAMJV,5552823,Tourcoing C.H. Dron,1,,1
ME2,52971-_ME226-LAMJV,5552825,Tourcoing C.H. Dron,1,,1
